"GCAM_region_ID","year","value","scenario"
20,2012,194164.167102027,"SSP4"
20,2013,186806.656164027,"SSP4"
20,2014,179620.086016181,"SSP4"
20,2015,172640.932438931,"SSP4"
20,2016,166257.396076431,"SSP4"
20,2017,161660.582135212,"SSP4"
20,2018,158589.922715721,"SSP4"
20,2019,156696.647662053,"SSP4"
20,2020,155752.291911451,"SSP4"
20,2021,156364.848723516,"SSP4"
20,2022,159348.434864398,"SSP4"
20,2023,165034.174422135,"SSP4"
20,2024,174973.732741551,"SSP4"
20,2025,188591.837940358,"SSP4"
20,2026,205981.015856246,"SSP4"
20,2027,227404.953673942,"SSP4"
20,2028,252349.422960159,"SSP4"
20,2029,277737.425162219,"SSP4"
20,2030,303568.96028012,"SSP4"
20,2031,329844.028313864,"SSP4"
20,2032,356562.62926345,"SSP4"
20,2033,383724.763128878,"SSP4"
20,2034,410231.614212784,"SSP4"
20,2035,436083.182515166,"SSP4"
20,2036,461279.468036025,"SSP4"
20,2037,485820.470775362,"SSP4"
20,2038,509706.190733175,"SSP4"
20,2039,531987.85878089,"SSP4"
20,2040,552665.474918508,"SSP4"
20,2041,571739.039146027,"SSP4"
20,2042,589208.551463449,"SSP4"
20,2043,605074.011870773,"SSP4"
20,2044,618912.101566479,"SSP4"
20,2045,630722.820550567,"SSP4"
20,2046,640506.168823036,"SSP4"
20,2047,648262.146383887,"SSP4"
20,2048,653990.753233119,"SSP4"
20,2049,658179.864872713,"SSP4"
20,2050,660829.481302666,"SSP4"
20,2051,661939.602522981,"SSP4"
20,2052,661939.602522981,"SSP4"
20,2053,661939.602522981,"SSP4"
20,2054,661939.602522981,"SSP4"
20,2055,661939.602522981,"SSP4"
20,2056,661939.602522981,"SSP4"
20,2057,661939.602522981,"SSP4"
20,2058,661939.602522981,"SSP4"
20,2059,661939.602522981,"SSP4"
20,2060,661939.602522981,"SSP4"
20,2061,661939.602522981,"SSP4"
20,2062,661939.602522981,"SSP4"
20,2063,661939.602522981,"SSP4"
20,2064,661939.602522981,"SSP4"
20,2065,661939.602522981,"SSP4"
20,2066,661939.602522981,"SSP4"
20,2067,661939.602522981,"SSP4"
20,2068,661939.602522981,"SSP4"
20,2069,661939.602522981,"SSP4"
20,2070,661939.602522981,"SSP4"
20,2071,661939.602522981,"SSP4"
20,2072,661939.602522981,"SSP4"
20,2073,661939.602522981,"SSP4"
20,2074,661939.602522981,"SSP4"
20,2075,661939.602522981,"SSP4"
20,2076,661939.602522981,"SSP4"
20,2077,662286.06144515,"SSP4"
20,2078,663030.551776653,"SSP4"
20,2079,664117.423355525,"SSP4"
20,2080,665546.676181767,"SSP4"
20,2081,667318.310255379,"SSP4"
20,2082,669432.32557636,"SSP4"
20,2083,671888.722144712,"SSP4"
20,2084,674661.213155192,"SSP4"
20,2085,677749.798607801,"SSP4"
20,2086,681154.478502538,"SSP4"
20,2087,684875.252839405,"SSP4"
20,2088,688912.121618401,"SSP4"
20,2089,693257.415415279,"SSP4"
20,2090,697911.13423004,"SSP4"
20,2091,702873.278062684,"SSP4"
20,2092,708143.84691321,"SSP4"
20,2093,713722.84078162,"SSP4"
20,2094,716255.644093569,"SSP4"
20,2095,718866.937088439,"SSP4"
20,2096,721576.342186961,"SSP4"
20,2097,724410.617235585,"SSP4"
20,2098,727407.223219342,"SSP4"
20,2099,730450.850331384,"SSP4"
20,2100,733559.131494818,"SSP4"
20,1971,97838.7267966682,"SSP5"
20,1972,100191.98161974,"SSP5"
20,1973,101891.856847454,"SSP5"
20,1974,103288.383632686,"SSP5"
20,1975,104516.932961988,"SSP5"
20,1976,105092.295647764,"SSP5"
20,1977,105486.989648067,"SSP5"
20,1978,107604.447796568,"SSP5"
20,1979,110028.274822449,"SSP5"
20,1980,112545.774700204,"SSP5"
20,1981,115187.745491812,"SSP5"
20,1982,116750.374388156,"SSP5"
20,1983,118418.753398594,"SSP5"
20,1984,120308.642752891,"SSP5"
20,1985,122262.109117585,"SSP5"
20,1986,124071.047000298,"SSP5"
20,1987,125563.901803043,"SSP5"
20,1988,127597.501846335,"SSP5"
20,1989,129633.698729263,"SSP5"
20,1990,132262.165251933,"SSP5"
20,1991,135368.53279542,"SSP5"
20,1992,137956.486764089,"SSP5"
20,1993,140879.376769703,"SSP5"
20,1994,143688.173117024,"SSP5"
20,1995,145306.153434232,"SSP5"
20,1996,145721.189076513,"SSP5"
20,1997,148499.700630311,"SSP5"
20,1998,151872.461516896,"SSP5"
20,1999,155597.718581723,"SSP5"
20,2000,159895.040764913,"SSP5"
20,2001,164906.634633915,"SSP5"
20,2002,169683.928632322,"SSP5"
20,2003,173893.176075463,"SSP5"
20,2004,178713.64991584,"SSP5"
20,2005,183727.490582917,"SSP5"
20,2006,188927.530835628,"SSP5"
20,2007,194154.087874111,"SSP5"
20,2008,198090.872791495,"SSP5"
20,2009,199296.534606238,"SSP5"
20,2010,199624.203212226,"SSP5"
20,2011,198790.305778391,"SSP5"
20,2012,194164.167102027,"SSP5"
20,2013,186806.656164027,"SSP5"
20,2014,179615.785692308,"SSP5"
20,2015,172628.031467311,"SSP5"
20,2016,166231.594133192,"SSP5"
20,2017,161617.578896481,"SSP5"
20,2018,158525.417857624,"SSP5"
20,2019,156649.471113233,"SSP5"
20,2020,155761.273600553,"SSP5"
20,2021,156468.818579184,"SSP5"
20,2022,159586.222815274,"SSP5"
20,2023,165444.610396862,"SSP5"
20,2024,175919.166332597,"SSP5"
20,2025,190434.61874019,"SSP5"
20,2026,209083.49345733,"SSP5"
20,2027,232129.477668745,"SSP5"
20,2028,259058.342941148,"SSP5"
20,2029,286540.120735465,"SSP5"
20,2030,314574.811051698,"SSP5"
20,2031,343162.413889846,"SSP5"
20,2032,372302.929249909,"SSP5"
20,2033,401996.357131888,"SSP5"
20,2034,430568.83859008,"SSP5"
20,2035,458020.373624487,"SSP5"
20,2036,484350.962235107,"SSP5"
20,2037,509560.604421942,"SSP5"
20,2038,533649.300184991,"SSP5"
20,2039,555379.378468641,"SSP5"
20,2040,574750.839272892,"SSP5"
20,2041,591763.682597743,"SSP5"
20,2042,606417.908443196,"SSP5"
20,2043,618713.516809249,"SSP5"
20,2044,628747.032988481,"SSP5"
20,2045,636518.456980894,"SSP5"
20,2046,642027.788786485,"SSP5"
20,2047,645275.028405256,"SSP5"
20,2048,646260.175837207,"SSP5"
20,2049,646260.175837207,"SSP5"
20,2050,646260.175837207,"SSP5"
20,2051,646260.175837207,"SSP5"
20,2052,646260.175837207,"SSP5"
20,2053,646260.175837207,"SSP5"
20,2054,646260.175837207,"SSP5"
20,2055,646260.175837207,"SSP5"
20,2056,646260.175837207,"SSP5"
20,2057,646260.175837207,"SSP5"
20,2058,646260.175837207,"SSP5"
20,2059,646260.175837207,"SSP5"
20,2060,646260.175837207,"SSP5"
20,2061,646260.175837207,"SSP5"
20,2062,646260.175837207,"SSP5"
20,2063,646260.175837207,"SSP5"
20,2064,646260.175837207,"SSP5"
20,2065,646260.175837207,"SSP5"
20,2066,646260.175837207,"SSP5"
20,2067,646260.175837207,"SSP5"
20,2068,646260.175837207,"SSP5"
20,2069,646260.175837207,"SSP5"
20,2070,646260.175837207,"SSP5"
20,2071,646260.175837207,"SSP5"
20,2072,646260.175837207,"SSP5"
20,2073,646260.175837207,"SSP5"
20,2074,646335.502390234,"SSP5"
20,2075,646701.359661677,"SSP5"
20,2076,647357.747651537,"SSP5"
20,2077,648304.666359814,"SSP5"
20,2078,649542.115786507,"SSP5"
20,2079,651024.097005702,"SSP5"
20,2080,652750.610017399,"SSP5"
20,2081,654721.654821598,"SSP5"
20,2082,656937.231418299,"SSP5"
20,2083,659397.339807501,"SSP5"
20,2084,662069.397295369,"SSP5"
20,2085,664953.403881903,"SSP5"
20,2086,668049.359567103,"SSP5"
20,2087,671357.26435097,"SSP5"
20,2088,674877.118233502,"SSP5"
20,2089,678572.958259266,"SSP5"
20,2090,682444.784428262,"SSP5"
20,2091,686492.59674049,"SSP5"
20,2092,690716.39519595,"SSP5"
20,2093,695116.179794642,"SSP5"
20,2094,697187.957392694,"SSP5"
20,2095,699303.302199,"SSP5"
20,2096,701473.106015625,"SSP5"
20,2097,703712.221299928,"SSP5"
20,2098,706041.441492212,"SSP5"
20,2099,708391.014453707,"SSP5"
20,2100,710768.572472865,"SSP5"
20,1971,97838.7267966682,"gSSP1"
20,1972,100191.98161974,"gSSP1"
20,1973,101891.856847454,"gSSP1"
20,1974,103288.383632686,"gSSP1"
20,1975,104516.932961988,"gSSP1"
20,1976,105092.295647764,"gSSP1"
20,1977,105486.989648067,"gSSP1"
20,1978,107604.447796568,"gSSP1"
20,1979,110028.274822449,"gSSP1"
20,1980,112545.774700204,"gSSP1"
20,1981,115187.745491812,"gSSP1"
20,1982,116750.374388156,"gSSP1"
20,1983,118418.753398594,"gSSP1"
20,1984,120308.642752891,"gSSP1"
20,1985,122262.109117585,"gSSP1"
20,1986,124071.047000298,"gSSP1"
20,1987,125563.901803043,"gSSP1"
20,1988,127597.501846335,"gSSP1"
20,1989,129633.698729263,"gSSP1"
20,1990,132262.165251933,"gSSP1"
20,1991,135368.53279542,"gSSP1"
20,1992,137956.486764089,"gSSP1"
20,1993,140879.376769703,"gSSP1"
20,1994,143688.173117024,"gSSP1"
20,1995,145306.153434232,"gSSP1"
20,1996,145721.189076513,"gSSP1"
20,1997,148499.700630311,"gSSP1"
20,1998,151872.461516896,"gSSP1"
20,1999,155597.718581723,"gSSP1"
20,2000,159895.040764913,"gSSP1"
20,2001,164906.634633915,"gSSP1"
20,2002,169683.928632322,"gSSP1"
20,2003,173893.176075463,"gSSP1"
20,2004,178713.64991584,"gSSP1"
20,2005,183727.490582917,"gSSP1"
20,2006,188927.530835628,"gSSP1"
20,2007,194154.087874111,"gSSP1"
20,2008,198090.872791495,"gSSP1"
20,2009,199296.534606238,"gSSP1"
20,2010,199624.203212226,"gSSP1"
20,2011,198790.305778391,"gSSP1"
20,2012,194164.167102027,"gSSP1"
20,2013,186806.656164027,"gSSP1"
20,2014,178380.749494575,"gSSP1"
20,2015,169376.792473289,"gSSP1"
20,2016,160838.533398999,"gSSP1"
20,2017,153744.142184589,"gSSP1"
20,2018,147833.050930505,"gSSP1"
20,2019,142651.696956313,"gSSP1"
20,2020,137971.615199256,"gSSP1"
20,2021,134400.798918935,"gSSP1"
20,2022,132753.3648815,"gSSP1"
20,2023,133360.437174988,"gSSP1"
20,2024,137829.286804605,"gSSP1"
20,2025,145584.641888063,"gSSP1"
20,2026,156719.028263052,"gSSP1"
20,2027,171496.133114299,"gSSP1"
20,2028,189401.728008516,"gSSP1"
20,2029,208549.720649139,"gSSP1"
20,2030,228486.241436991,"gSSP1"
20,2031,248555.742717399,"gSSP1"
20,2032,268971.159784007,"gSSP1"
20,2033,289732.492636817,"gSSP1"
20,2034,309833.391437498,"gSSP1"
20,2035,329273.85618605,"gSSP1"
20,2036,348053.886882473,"gSSP1"
20,2037,366173.483526768,"gSSP1"
20,2038,383632.646118934,"gSSP1"
20,2039,399608.509613804,"gSSP1"
20,2040,414101.074011378,"gSSP1"
20,2041,427110.339311656,"gSSP1"
20,2042,438636.305514638,"gSSP1"
20,2043,448678.972620324,"gSSP1"
20,2044,457060.496616868,"gSSP1"
20,2045,463780.877504271,"gSSP1"
20,2046,468840.115282532,"gSSP1"
20,2047,472238.209951652,"gSSP1"
20,2048,473975.161511631,"gSSP1"
20,2049,474656.896245939,"gSSP1"
20,2050,474656.896245939,"gSSP1"
20,2051,474656.896245939,"gSSP1"
20,2052,474656.896245939,"gSSP1"
20,2053,474656.896245939,"gSSP1"
20,2054,474656.896245939,"gSSP1"
20,2055,474656.896245939,"gSSP1"
20,2056,474656.896245939,"gSSP1"
20,2057,474656.896245939,"gSSP1"
20,2058,474656.896245939,"gSSP1"
20,2059,474656.896245939,"gSSP1"
20,2060,474656.896245939,"gSSP1"
20,2061,474656.896245939,"gSSP1"
20,2062,474656.896245939,"gSSP1"
20,2063,474656.896245939,"gSSP1"
20,2064,474656.896245939,"gSSP1"
20,2065,474656.896245939,"gSSP1"
20,2066,474656.896245939,"gSSP1"
20,2067,474656.896245939,"gSSP1"
20,2068,474656.896245939,"gSSP1"
20,2069,474656.896245939,"gSSP1"
20,2070,474656.896245939,"gSSP1"
20,2071,474656.896245939,"gSSP1"
20,2072,474656.896245939,"gSSP1"
20,2073,474656.896245939,"gSSP1"
20,2074,474656.896245939,"gSSP1"
20,2075,474656.896245939,"gSSP1"
20,2076,474656.896245939,"gSSP1"
20,2077,474656.896245939,"gSSP1"
20,2078,474656.896245939,"gSSP1"
20,2079,474656.896245939,"gSSP1"
20,2080,474656.896245939,"gSSP1"
20,2081,474656.896245939,"gSSP1"
20,2082,474656.896245939,"gSSP1"
20,2083,474656.896245939,"gSSP1"
20,2084,474656.896245939,"gSSP1"
20,2085,474656.896245939,"gSSP1"
20,2086,474656.896245939,"gSSP1"
20,2087,474656.896245939,"gSSP1"
20,2088,474656.896245939,"gSSP1"
20,2089,474656.896245939,"gSSP1"
20,2090,474656.896245939,"gSSP1"
20,2091,474656.896245939,"gSSP1"
20,2092,474656.896245939,"gSSP1"
20,2093,474656.896245939,"gSSP1"
20,2094,474656.896245939,"gSSP1"
